poeme,contexte_gauche,tokens,contexte_droit
18martyrscalahorra.xml,caput,caput,sanguis
18martyrscalahorra.xml,igne,membra,membra
18martyrscalahorra.xml,caput,sanguis,sanguis
18martyrscalahorra.xml,membra,membra,membra
18martyrscalahorra.xml,sanguis,sanguis,pectus
18martyrscalahorra.xml,membra,membra,sanguis
18martyrscalahorra.xml,sanguis,pectus,sanguis
18martyrscalahorra.xml,membra,sanguis,artus
agnès.xml,caput,os,caput
cassianus.xml,artus,manus,manus
cassianus.xml,membra,membra,manus
cassianus.xml,manus,manus,manus
cassianus.xml,membra,manus,membra
cassianus.xml,manus,manus,sanguis
cyprianus.xml,terra,artus,pectus
eulalie.xml,membra,manus,membra
eulalie.xml,pectus,caput,caput
eulalie.xml,manus,membra,membra
eulalie.xml,caput,caput,caput
eulalie.xml,membra,membra,os
eulalie.xml,caput,caput,membra
laurent.xml,aurum,aurum,corpus
laurent.xml,aurum,aurum,membra
laurent.xml,aurum,corpus,sanguis
laurent.xml,aurum,membra,artus
laurent.xml,corpus,sanguis,manus
laurent.xml,membra,artus,igne
laurent.xml,sanguis,manus,artus
laurent.xml,artus,igne,caput
laurent.xml,manus,artus,os
laurent.xml,igne,caput,membra
laurent.xml,artus,os,os
laurent.xml,caput,membra,os
laurent.xml,os,os,membra
laurent.xml,membra,os,caput
laurent.xml,os,membra,sanguis
laurent.xml,os,caput,corpus
laurent.xml,membra,sanguis,pectus
poeme_emeterius_chelidonius.xml,terra,ferro,ferro
poeme_emeterius_chelidonius.xml,membra,manus,manus
poeme_emeterius_chelidonius.xml,ferro,ferro,pectus
poeme_emeterius_chelidonius.xml,manus,manus,manus
poeme_emeterius_chelidonius.xml,ferro,pectus,corpus
poeme_emeterius_chelidonius.xml,manus,manus,artus
poeme_emeterius_chelidonius.xml,pectus,corpus,membra
saints_romains.xml,pectus,corpus,lapis
saints_romains.xml,manus,sanguis,caput
saints_romains.xml,corpus,lapis,pectus
saints_romains.xml,sanguis,caput,lapis
saints_romains.xml,lapis,pectus,artus
saints_romains.xml,caput,lapis,pectus
saints_romains.xml,pectus,artus,membra
saints_romains.xml,lapis,pectus,corpus
saints_romains.xml,artus,membra,manus
saints_romains.xml,pectus,corpus,manus
saints_romains.xml,membra,manus,cruor
saints_romains.xml,corpus,manus,artus
saints_romains.xml,manus,cruor,aurum
saints_romains.xml,manus,artus,corpus
saints_romains.xml,cruor,aurum,os
saints_romains.xml,artus,corpus,corpus
saints_romains.xml,aurum,os,corpus
saints_romains.xml,corpus,corpus,corpus
saints_romains.xml,os,corpus,membra
saints_romains.xml,corpus,corpus,corpus
saints_romains.xml,corpus,membra,corpus
saints_romains.xml,corpus,corpus,artus
saints_romains.xml,membra,corpus,membra
saints_romains.xml,corpus,artus,corpus
saints_romains.xml,corpus,membra,corpus
saints_romains.xml,artus,corpus,caput
saints_romains.xml,membra,corpus,corpus
saints_romains.xml,corpus,caput,manus
saints_romains.xml,corpus,corpus,caput
saints_romains.xml,caput,manus,ferro
valerianus_hippolyte.xml,caput,caput,membra
valerianus_hippolyte.xml,caput,artus,manus
valerianus_hippolyte.xml,caput,membra,membra
valerianus_hippolyte.xml,artus,manus,caput
valerianus_hippolyte.xml,membra,membra,manus
valerianus_hippolyte.xml,manus,caput,sanguis
valerianus_hippolyte.xml,membra,manus,corpus
valerianus_hippolyte.xml,caput,sanguis,manus
vincent.xml,ferro,manus,manus
vincent.xml,os,artus,manus
vincent.xml,manus,manus,membra
vincent.xml,artus,manus,artus
vincent.xml,manus,membra,membra
vincent.xml,manus,artus,caput
vincent.xml,membra,membra,corpus
vincent.xml,artus,caput,corpus
vincent.xml,membra,corpus,lapis
vincent.xml,caput,corpus,artus
vincent.xml,corpus,lapis,corpus
vincent.xml,corpus,artus,corpus
