"poeme","token","lemma","upos"
"18martyrscalahorra.xml","caput","caput","CCONJ"
"18martyrscalahorra.xml","ossa","os","NOUN"
"18martyrscalahorra.xml","ore","os","NOUN"
"18martyrscalahorra.xml","lapides","lapis","NOUN"
"18martyrscalahorra.xml","artubus","artus","NOUN"
"18martyrscalahorra.xml","caput","caput","NOUN"
"18martyrscalahorra.xml","sanguinem","sanguis","NOUN"
"18martyrscalahorra.xml","sanguis","sanguis","ADJ"
"18martyrscalahorra.xml","cruoris","cruor","NOUN"
"18martyrscalahorra.xml","terris","terra","NOUN"
"18martyrscalahorra.xml","sanguinis","sanguis","NOUN"
"18martyrscalahorra.xml","ossa","os","NOUN"
"18martyrscalahorra.xml","ossa","os","NOUN"
"18martyrscalahorra.xml","terris","terra","NOUN"
"18martyrscalahorra.xml","pectus","pectus","NOUN"
"18martyrscalahorra.xml","sanguis","sanguis","ADJ"
"18martyrscalahorra.xml","artus","artus","NOUN"
"agnès.xml","pectore","pectus","NOUN"
"agnès.xml","ore","os","NOUN"
"agnès.xml","caput","caput","NOUN"
"agnès.xml","sanguine","sanguis","NOUN"
"agnès.xml","os","os","NOUN"
"agnès.xml","manu","manus","NOUN"
"agnès.xml","caput","caput","NOUN"
"agnès.xml","caput","caput","NOUN"
"agnès.xml","oris","os","NOUN"
"baptistère.xml","terra","terra","NOUN"
"baptistère.xml","cruor","cruor","NUM"
"cassianus.xml","corpore","corpus","NOUN"
"cassianus.xml","artus","artus","NOUN"
"cassianus.xml","manus","manus","NOUN"
"cassianus.xml","ora","os","NOUN"
"cassianus.xml","manus","manus","NOUN"
"cassianus.xml","manus","manus","NOUN"
"cassianus.xml","manus","manus","NOUN"
"cassianus.xml","membra","membra","NOUN"
"cassianus.xml","pectoris","pectus","NOUN"
"cassianus.xml","corporis","corpus","NOUN"
"cassianus.xml","ore","os","NOUN"
"cassianus.xml","pectore","pectus","NOUN"
"cyprianus.xml","terra","terra","NOUN"
"cyprianus.xml","ore","os","NOUN"
"cyprianus.xml","corpore","corpus","NOUN"
